glottolog_name,Glottocode,asjp_id,tip_name
Western Arrarnta,west2441,WESTERN_ARRERNTE,Aus.PAMA_NYUNGAN.WESTERN_ARRERNTE
Eastern Arrernte,east2379,ARRERNTE_CENTRAL,Aus.PAMA_NYUNGAN.ARRERNTE_CENTRAL
Eastern Arrernte,east2379,ARRERNTE_EASTERN,Aus.PAMA_NYUNGAN.ARRERNTE_EASTERN
Western Arrarnta,west2441,LOWER_ARANDA,Aus.PAMA_NYUNGAN.LOWER_ARANDA
Western Arrarnta,west2441,ARRARNTA_WESTERN,Aus.PAMA_NYUNGAN.ARRARNTA_WESTERN
Western Arrarnta,west2441,SOUTHERN_ARANDA,Aus.PAMA_NYUNGAN.SOUTHERN_ARANDA
Eastern Arrernte,east2379,ARRERNTE_EASTERN_2,Aus.PAMA_NYUNGAN.ARRERNTE_EASTERN_2
Anmatyerre,anma1239,ANMATYERRE,Aus.PAMA_NYUNGAN.ANMATYERRE
Eastern Arrernte,east2379,AKARA,Aus.PAMA_NYUNGAN.AKARA
Eastern Arrernte,east2379,ARANDA,Aus.PAMA_NYUNGAN.ARANDA
